time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,prediction
4123198,,,,,,,,0.09375,2.21875,-0.09765625,0.083984375,-0.27734375,0.201171875,-0.0234375,-7.328125,1.44921875,
4123199,,,,,,,,0.37890625,2.515625,-0.14453125,0.095703125,-0.248046875,0.21484375,0.24609375,-7.02734375,1.41015625,
4123200,36.01251733,129.319244,58.05623751,13.01940835,1,328,0,0.71484375,2.5546875,-0.12109375,0.12109375,-0.14453125,0.25390625,0.55078125,-6.98828125,1.44921875,3
4123201,,,,,,,,1.08203125,2.33203125,-0.40234375,0.125,-0.1171875,0.283203125,0.89453125,-7.2109375,1.18359375,2
4123202,,,,,,,,1.25,2.171875,-0.6015625,0.138671875,-0.09765625,0.3125,1.046875,-7.37109375,0.9921875,3
4123203,,,,,,,,1.51171875,2.24609375,-0.47265625,0.142578125,-0.091796875,0.34375,1.27734375,-7.2890625,1.14453125,2
4123204,,,,,,,,1.52734375,2.2109375,-0.48046875,0.138671875,-0.09375,0.3515625,1.27734375,-7.328125,1.14453125,3
4123205,,,,,,,,1.3671875,2.1640625,-0.640625,0.138671875,-0.103515625,0.365234375,1.0859375,-7.3671875,0.9921875,3
4123206,,,,,,,,1.28515625,2.1640625,-0.65625,0.134765625,-0.12109375,0.359375,0.97265625,-7.37109375,0.9921875,3
4123207,,,,,,,,1.24609375,2.15625,-0.55859375,0.09765625,-0.08203125,0.33203125,0.89453125,-7.37109375,1.10546875,3
4123208,,,,,,,,1.25390625,2.0390625,-0.55859375,0.091796875,-0.06640625,0.306640625,0.89453125,-7.48828125,1.10546875,3
4123209,,,,,,,,1.24609375,1.6953125,-0.6875,0.140625,-0.064453125,0.265625,0.85546875,-7.83203125,0.9921875,3
4123210,36.01251783,129.3192432,57.98111261,13.07488747,1,326,,1.42578125,1.3359375,-0.67578125,0.185546875,0.02734375,0.20703125,1.01171875,-8.17578125,1.02734375,3
4123211,,,,,,,,1.33984375,1.09765625,-0.78125,0.16796875,0.060546875,0.1328125,0.89453125,-8.3984375,0.953125,2
4123212,,,,,,,,1.2734375,1.09765625,-0.7890625,0.16015625,0.048828125,0.125,0.8203125,-8.40234375,0.953125,3
4123213,,,,,,,,0.8984375,0.9375,-0.765625,0.13671875,0.064453125,0.107421875,0.4375,-8.55859375,0.9921875,2
4123214,,,,,,,,0.67578125,0.546875,-0.62109375,0.11328125,0.0859375,0.09765625,0.20703125,-8.9375,1.14453125,2
4123215,,,,,,,,0.4609375,0.0078125,-0.32421875,0.11328125,0.123046875,0.0859375,-0.0234375,-9.48046875,1.44921875,2
4123216,,,,,,,,0.3359375,-0.06640625,-0.25390625,0.10546875,0.134765625,0.078125,-0.140625,-9.546875,1.52734375,2
4123217,,,,,,,,0.3515625,-0.34375,-0.0390625,0.1171875,0.185546875,0.076171875,-0.140625,-9.8203125,1.7578125,2
4123218,,,,,,,,0.32421875,-0.265625,0.21875,0.1328125,0.2421875,0.0703125,-0.17578125,-9.7421875,2.0234375,2
4123219,,,,,,,,0.3671875,-0.15234375,0.25,0.138671875,0.263671875,0.08203125,-0.140625,-9.62890625,2.0625,2
4123220,36.0125185,129.3192423,57.90598759,13.1488598,1,322,,0.453125,0.0625,0.01171875,0.185546875,0.02734375,0.20703125,1.01171875,-8.17578125,1.02734375,2
4123221,,,,,,,,0.74609375,0.21484375,-0.5,0.134765625,0.33203125,0.125,0.20703125,-9.24609375,1.3359375,2
4123222,,,,,,,,0.8359375,0.0546875,-0.6328125,0.177734375,0.302734375,0.142578125,0.28125,-9.3984375,1.21875,2
4123223,,,,,,,,0.69921875,-0.4140625,-0.609375,0.263671875,0.279296875,0.146484375,0.12890625,-9.86328125,1.2578125,2
4123224,,,,,,,,0.5234375,-0.7265625,-0.5234375,0.328125,0.240234375,0.15234375,-0.0625,-10.1640625,1.375,2
4123225,,,,,,,,0.125,-0.92578125,-0.35546875,0.302734375,0.15234375,0.150390625,-0.484375,-10.3515625,1.56640625,2
4123226,,,,,,,,-0.09765625,-1.01171875,-0.53515625,0.205078125,0.080078125,0.1484375,-0.71484375,-10.43359375,1.41015625,2
4123227,,,,,,,,-0.2734375,-1.2421875,-0.6640625,0.0859375,0.068359375,0.13671875,-0.90625,-10.6640625,1.296875,2
4123228,,,,,,,,-0.2265625,-1.47265625,-0.55078125,-0.033203125,0.0625,0.134765625,-0.8671875,-10.890625,1.41015625,2
4123229,,,,,,,,-0.1328125,-1.6640625,-0.46484375,-0.115234375,0.0625,0.126953125,-0.7890625,-11.08984375,1.48828125,2
4123230,36.012519,129.3192415,57.8308627,13.20433892,1,319,,-0.01171875,-2.046875,-0.37109375,-0.166015625,0.037109375,0.12109375,1.01171875,-8.17578125,1.02734375,2
4123231,,,,,,,,0.1875,-3.04296875,-0.28125,-0.25390625,-0.048828125,0.119140625,-0.484375,-12.46484375,1.640625,2
4123232,,,,,,,,-0.140625,-3.875,0.02734375,-0.330078125,-0.13671875,0.111328125,-0.828125,-13.30859375,1.91015625,2
4123233,,,,,,,,-0.41015625,-3.8671875,0.1484375,-0.34375,-0.16796875,0.107421875,-1.09765625,-13.30859375,2.0234375,2
