times,latitude,longitude,speed,course,sat_num,hdop,enu_x,enu_y
25689150,36.01298583333333,129.31880199999998,0.0,-1,-1,-1,18.210078536032256,65.00363795554968
25689160,36.01298583333333,129.31880199999998,0.0,-1,-1,-1,18.210078536032256,65.00363795554968
25689170,36.01298583333333,129.31880199999998,0.0,-1,-1,-1,18.210078536032256,65.00363795554968
25689180,36.01298583333333,129.31880183333334,0.0,-1,-1,-1,18.195053721471183,65.0036379242608
25689190,36.01298583333333,129.31880183333334,0.0,-1,-1,-1,18.195053721471183,65.0036379242608
25689200,36.01298583333333,129.31880166666667,0.0,-1,-1,-1,18.180028904223676,65.00363789320387
25689210,36.01298583333333,129.31880166666667,0.0,-1,-1,-1,18.180028904223676,65.00363789320387
25689220,36.01298583333333,129.3188015,0.0,-1,-1,-1,18.165004087566288,65.00363786257059
25689230,36.01298583333333,129.3188015,0.0,-1,-1,-1,18.165004087566288,65.00363786257059
25689240,36.01298583333333,129.3188015,0.0,-1,-1,-1,18.165004087566288,65.00363786257059
25689250,36.01298583333333,129.31880133333334,0.0,-1,-1,-1,18.149979270744225,65.0036378309549
25689260,36.01298583333333,129.31880116666667,0.0,-1,-1,-1,18.134954454086838,65.00363780032161
25689270,36.01298583333333,129.31880116666667,0.0,-1,-1,-1,18.134954454086838,65.00363780032161
25689280,36.012986,129.31880099999998,0.0,-1,-1,-1,18.11992959636595,65.02213097621367
25689290,36.012986,129.31880099999998,0.0,-1,-1,-1,18.11992959636595,65.02213097621367
25689300,36.012986,129.31880099999998,0.1,-1,-1,-1,18.11992959636595,65.02213097621367
25689310,36.012986166666664,129.31880116666667,0.0,-1,-1,-1,18.134954377531656,65.04062421376045
25689320,36.01298633333333,129.3188008333333,0.2,-1,-1,-1,18.104904703088195,65.05911735902785
25689330,36.01298633333333,129.31880066666665,0.2,-1,-1,-1,18.08987988416981,65.05911732806776
25689340,36.01298633333333,129.31880016666668,0.30000000000000004,-1,-1,-1,18.04480543563865,65.05911723547396
25689350,36.01298633333333,129.31879983333334,0.30000000000000004,-1,-1,-1,18.014755802028816,65.05911717399557
25689360,36.012986,129.31879966666665,0.30000000000000004,-1,-1,-1,17.99973105848538,65.02213072912606
25689370,36.01298516666667,129.31879916666668,0.5,-1,-1,-1,17.954656796559412,64.92966460250442
25689380,36.01298416666667,129.31879916666668,0.9,-1,-1,-1,17.954657023113064,64.81870536184866
25689390,36.012983500000004,129.31879933333332,0.8,-1,-1,-1,17.96968198976893,64.74473256488835
25689400,36.0129825,129.318799,0.4,-1,-1,-1,17.93963258412284,64.63377326118523
25689410,36.01298216666667,129.318799,0.4,-1,-1,-1,17.939632659597265,64.59678684789017
25689420,36.012982,129.31879883333335,0.30000000000000004,-1,-1,-1,17.9246078794814,64.57829361083125
25689430,36.012982,129.318799,0.1,-1,-1,-1,17.93963269744941,64.5782936415412
25689440,36.01298216666667,129.318799,0.2,-1,-1,-1,17.939632659597265,64.59678684789017
25689450,36.012983,129.31879933333332,0.5,-1,-1,-1,17.969682103225885,64.68925294334372
25689460,36.012983500000004,129.31879983333334,0.7000000000000001,-1,-1,-1,18.014756446654452,64.74473265699805
25689470,36.01298383333334,129.31880016666668,0.5,-1,-1,-1,18.044806005675035,64.78171913203026
25689480,36.01298433333333,129.31880016666668,0.5,-1,-1,-1,18.044805891332913,64.83719875256278
25689490,36.01298466666666,129.3188005,0.5,-1,-1,-1,18.074855449993244,64.87418522776848
