,time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
1175,795675,,,,,,,,1.56640625,0.890625,0.6640625,0.55078125,-3.767578125,-1.251953125,7.800000000000011,2.52222222222224,177.06666666666666
1176,795676,,,,,,,,0.6015625,0.453125,-0.3359375,0.162109375,-3.390625,-0.9375,9.911111111111097,2.8555555555555543,177.8111111111111
1177,795677,,,,,,,,-0.64453125,0.33984375,-1.69921875,-0.42578125,-2.796875,-0.548828125,11.655555555555566,2.888888888888914,178.32222222222222
1178,795678,,,,,,,,-0.6875,0.0390625,-1.30859375,-0.9375,-2.08984375,-0.30078125,13.044444444444423,2.566666666666663,178.61111111111111
1179,795679,,,,,,,,-0.66796875,-0.40234375,0.00390625,-1.1640625,-1.666015625,-0.251953125,14.111111111111086,2.02222222222224,178.8
1180,795680,36.012790333333335,129.32211033333334,316.4534827214783,43.31678746120603,0.1,65535.0,,-0.54296875,-0.68359375,1.60546875,-1.078125,-1.267578125,-0.09765625,14.955555555555577,1.4222222222222172,178.9111111111111
1181,795681,,,,,,,,-0.55859375,-0.3125,0.90234375,-1.029296875,-0.712890625,0.337890625,15.53333333333336,0.8000000000000114,178.83333333333334
1182,795682,,,,,,,,-0.8359375,0.1953125,0.265625,-1.326171875,-0.3203125,0.779296875,15.833333333333314,0.04444444444442297,178.48888888888888
1183,795683,,,,,,,,-0.63671875,0.16796875,-0.1875,-1.70703125,-0.328125,0.90625,16.02222222222224,-0.9444444444444571,177.96666666666667
1184,795684,,,,,,,,-0.62890625,-0.56640625,-0.9453125,-1.818359375,-0.54296875,0.830078125,16.25555555555553,-2.044444444444423,177.45555555555555
1185,795685,,,,,,,,-0.81640625,-0.6171875,-0.72265625,-1.576171875,-0.84765625,0.658203125,16.633333333333326,-3.1555555555555657,176.9777777777778
1186,795686,,,,,,,,-0.53515625,-0.55078125,0.15234375,-1.0546875,-1.291015625,0.34375,17.26666666666665,-4.03333333333336,176.61111111111111
1187,795687,,,,,,,,-0.17578125,-0.20703125,0.51171875,-0.57421875,-1.74609375,0.05078125,18.122222222222206,-4.544444444444423,176.4111111111111
1188,795688,,,,,,,,0.11328125,0.1875,-0.4609375,-0.400390625,-2.052734375,-0.02734375,19.22222222222223,-4.855555555555554,176.2888888888889
1189,795689,,,,,,,,0.421875,-0.08203125,-0.765625,-0.361328125,-2.00390625,-0.033203125,20.377777777777794,-5.088888888888903,176.17777777777778
1190,795690,36.012792,129.32210933333332,316.3633269326838,43.50171627642035,0.1,65535.0,,-0.4765625,-0.36328125,-0.38671875,-0.228515625,-1.8203125,-0.009765625,21.46666666666664,-5.300000000000011,176.07777777777778
1191,795691,,,,,,,,-0.6328125,-0.30859375,-0.5859375,-0.12890625,-1.76171875,-0.080078125,22.48888888888888,-5.411111111111097,175.98888888888888
1192,795692,,,,,,,,-0.53125,0.03515625,-0.4375,-0.1015625,-1.80859375,-0.16796875,23.52222222222224,-5.48888888888888,175.94444444444446
1193,795693,,,,,,,,-0.49609375,0.07421875,-0.58984375,-0.052734375,-1.861328125,-0.076171875,24.566666666666663,-5.544444444444423,175.88888888888889
1194,795694,,,,,,,,-0.54296875,-0.15625,-0.7421875,0.068359375,-1.81640625,0.1171875,25.611111111111086,-5.577777777777783,175.75555555555556
1195,795695,,,,,,,,-0.2265625,-0.43359375,-1.7734375,0.2578125,-1.525390625,0.236328125,27.555555555555543,-5.588888888888903,175.23333333333332
1196,795696,,,,,,,,-0.68359375,-0.05859375,-2.20703125,0.228515625,-1.294921875,0.12109375,28.31111111111113,-5.544444444444423,175.0222222222222
1197,795697,,,,,,,,-0.72265625,0.34765625,-2.375,0.169921875,-1.349609375,-0.068359375,29.100000000000023,-5.47777777777776,174.9111111111111
1198,795698,,,,,,,,-0.265625,0.27734375,-2.6484375,0.216796875,-1.373046875,-0.39453125,29.899999999999977,-5.322222222222194,174.95555555555555
1199,795699,,,,,,,,-0.52734375,-0.16015625,-2.2421875,0.4296875,-1.2421875,-0.712890625,30.666666666666686,-4.98888888888888,175.23333333333332
1200,795700,36.012791500000006,129.32211033333334,316.4534780583491,43.446239905967246,0.1,65535.0,166.0,-0.4765625,-0.36328125,-0.38671875,0.8125,-1.021484375,-0.880859375,21.46666666666664,-5.300000000000011,176.07777777777778
