time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
3925187,,,,,,,,0.2421875,-0.08984375,-0.14453125,0.08984375,0.123046875,0.0234375,356.0,356.0,356.02222222222224
3925188,,,,,,,,0.2421875,-0.08984375,-0.14453125,0.08984375,0.123046875,0.0234375,356.0,356.0,356.02222222222224
3925189,,,,,,,,0.2421875,-0.08984375,-0.14453125,0.0703125,0.1171875,0.001953125,356.0,356.0,356.02222222222224
3925190,36.013623,129.31971133333334,100.18467530036001,135.70372409781288,0.1,65535.0,,0.2421875,-0.08984375,-0.14453125,0.0703125,0.1171875,0.001953125,356.0,356.0,356.02222222222224
3925191,,,,,,,,0.2421875,-0.08984375,-0.14453125,0.078125,0.140625,0.005859375,356.0,356.0,356.02222222222224
3925192,,,,,,,,0.44140625,-0.07421875,-0.296875,0.078125,0.140625,0.005859375,356.0,356.0,356.02222222222224
3925193,,,,,,,,0.44140625,-0.07421875,-0.296875,0.078125,0.140625,0.005859375,356.0,356.0,356.02222222222224
3925194,,,,,,,,0.44140625,-0.07421875,-0.296875,0.0234375,0.1640625,0.0078125,356.0,356.0,356.02222222222224
3925195,,,,,,,,0.44140625,-0.07421875,-0.296875,0.0234375,0.1640625,0.0078125,356.0,356.0,356.02222222222224
3925196,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.01171875,0.162109375,0.0234375,356.0,356.0,356.02222222222224
3925197,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.01171875,0.162109375,0.0234375,356.0,356.0,356.02222222222224
3925198,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.025390625,0.140625,0.0546875,356.0,356.0,356.02222222222224
3925199,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.025390625,0.140625,0.0546875,356.0,356.0,356.02222222222224
3925200,36.01362266666667,129.31971083333335,100.13960163177792,135.66673716564193,0.1,65535.0,91.0,0.44140625,-0.07421875,-0.296875,-0.025390625,0.140625,0.0546875,356.0,356.0,356.02222222222224
3925201,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.025390625,0.140625,0.0546875,356.0,356.0,356.02222222222224
3925202,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.03515625,0.126953125,0.044921875,356.0,356.0,356.02222222222224
3925203,,,,,,,,0.44140625,-0.07421875,-0.296875,-0.03515625,0.126953125,0.044921875,356.0,356.0,356.02222222222224
3925204,,,,,,,,0.44140625,-0.07421875,-0.296875,0.107421875,-0.017578125,0.1328125,356.0,356.0,356.02222222222224
3925205,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.017578125,0.1328125,356.0,356.0,356.02222222222224
3925206,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.017578125,0.1328125,356.0,356.0,356.02222222222224
3925207,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.017578125,0.1328125,356.0,356.0,356.02222222222224
3925208,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.021484375,0.134765625,356.0,356.0,356.02222222222224
3925209,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.021484375,0.134765625,356.0,356.0,356.02222222222224
3925210,36.01362266666667,129.31971083333335,100.13960163177792,135.66673716564193,0.1,65535.0,,0.328125,-0.12890625,0.046875,0.107421875,-0.01953125,0.142578125,356.0,356.0,356.02222222222224
3925211,,,,,,,,0.328125,-0.12890625,0.046875,0.107421875,-0.01953125,0.142578125,356.0,356.0,356.02222222222224
3925212,,,,,,,,0.328125,-0.12890625,0.046875,0.12109375,-0.068359375,0.142578125,356.0,356.0,356.02222222222224
3925213,,,,,,,,0.328125,-0.12890625,0.046875,0.12109375,-0.068359375,0.142578125,356.0,356.0,356.02222222222224
